renderer	theme	weight	size_px	feature	digit_0_to_9_advance_px	spread_px
Chromium DOM Range	paper	400	9	tnum	4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125	0
Chromium DOM Range	paper	400	9	pnum	4.5625,3.453125,4.546875,4.328125,4.5,4.328125,4.359375,4.359375,4.25,4.359375	1.109375
Chromium DOM Range	paper	400	10	tnum	4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125	0
Chromium DOM Range	paper	400	10	pnum	5.0625,3.828125,5.0625,4.8125,5,4.8125,4.84375,4.84375,4.734375,4.84375	1.234375
Chromium DOM Range	paper	400	11	tnum	5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125	0
Chromium DOM Range	paper	400	11	pnum	5.578125,4.203125,5.5625,5.28125,5.5,5.28125,5.328125,5.328125,5.203125,5.328125	1.375
Chromium DOM Range	paper	400	12	tnum	5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625	0
Chromium DOM Range	paper	400	12	pnum	6.078125,4.59375,6.0625,5.765625,6,5.765625,5.8125,5.8125,5.671875,5.8125	1.484375
Chromium DOM Range	paper	400	14	tnum	6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375	0
Chromium DOM Range	paper	400	14	pnum	7.09375,5.359375,7.078125,6.734375,7,6.734375,6.78125,6.78125,6.609375,6.78125	1.734375
Chromium DOM Range	paper	500	9	tnum	4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375	0
Chromium DOM Range	paper	500	9	pnum	4.8125,3.484375,4.625,4.296875,4.71875,4.234375,4.484375,4.5625,4.5,4.546875	1.328125
Chromium DOM Range	paper	500	10	tnum	4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375	0
Chromium DOM Range	paper	500	10	pnum	5.34375,3.875,5.140625,4.765625,5.234375,4.703125,4.984375,5.0625,5,5.046875	1.46875
Chromium DOM Range	paper	500	11	tnum	5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375	0
Chromium DOM Range	paper	500	11	pnum	5.875,4.265625,5.65625,5.25,5.765625,5.171875,5.484375,5.578125,5.5,5.5625	1.609375
Chromium DOM Range	paper	500	12	tnum	5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375	0
Chromium DOM Range	paper	500	12	pnum	6.40625,4.65625,6.171875,5.71875,6.28125,5.640625,5.984375,6.078125,6,6.0625	1.75
Chromium DOM Range	paper	500	14	tnum	6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875	0
Chromium DOM Range	paper	500	14	pnum	7.46875,5.421875,7.1875,6.671875,7.328125,6.578125,6.96875,7.09375,7,7.078125	2.046875
Chromium DOM Range	night	400	9	tnum	4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125,4.328125	0
Chromium DOM Range	night	400	9	pnum	4.5625,3.453125,4.546875,4.328125,4.5,4.328125,4.359375,4.359375,4.25,4.359375	1.109375
Chromium DOM Range	night	400	10	tnum	4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125,4.8125	0
Chromium DOM Range	night	400	10	pnum	5.0625,3.828125,5.0625,4.8125,5,4.8125,4.84375,4.84375,4.734375,4.84375	1.234375
Chromium DOM Range	night	400	11	tnum	5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125,5.28125	0
Chromium DOM Range	night	400	11	pnum	5.578125,4.203125,5.5625,5.28125,5.5,5.28125,5.328125,5.328125,5.203125,5.328125	1.375
Chromium DOM Range	night	400	12	tnum	5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625,5.765625	0
Chromium DOM Range	night	400	12	pnum	6.078125,4.59375,6.0625,5.765625,6,5.765625,5.8125,5.8125,5.671875,5.8125	1.484375
Chromium DOM Range	night	400	14	tnum	6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375,6.734375	0
Chromium DOM Range	night	400	14	pnum	7.09375,5.359375,7.078125,6.734375,7,6.734375,6.78125,6.78125,6.609375,6.78125	1.734375
Chromium DOM Range	night	500	9	tnum	4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375,4.484375	0
Chromium DOM Range	night	500	9	pnum	4.8125,3.484375,4.625,4.296875,4.71875,4.234375,4.484375,4.5625,4.5,4.546875	1.328125
Chromium DOM Range	night	500	10	tnum	4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375,4.984375	0
Chromium DOM Range	night	500	10	pnum	5.34375,3.875,5.140625,4.765625,5.234375,4.703125,4.984375,5.0625,5,5.046875	1.46875
Chromium DOM Range	night	500	11	tnum	5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375,5.484375	0
Chromium DOM Range	night	500	11	pnum	5.875,4.265625,5.65625,5.25,5.765625,5.171875,5.484375,5.578125,5.5,5.5625	1.609375
Chromium DOM Range	night	500	12	tnum	5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375,5.984375	0
Chromium DOM Range	night	500	12	pnum	6.40625,4.65625,6.171875,5.71875,6.28125,5.640625,5.984375,6.078125,6,6.0625	1.75
Chromium DOM Range	night	500	14	tnum	6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875,6.96875	0
Chromium DOM Range	night	500	14	pnum	7.46875,5.421875,7.1875,6.671875,7.328125,6.578125,6.96875,7.09375,7,7.078125	2.046875
Chromium DOM Range	paper	400	17	tnum	8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875,8.171875	0
Chromium DOM Range	paper	400	17	pnum	8.609375,6.5,8.59375,8.171875,8.5,8.171875,8.234375,8.234375,8.03125,8.234375	2.109375
Chromium DOM Range	paper	400	22	tnum	10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625,10.5625	0
Chromium DOM Range	paper	400	22	pnum	11.140625,8.40625,11.125,10.5625,11,10.5625,10.65625,10.65625,10.390625,10.65625	2.734375
Chromium DOM Range	paper	400	30	tnum	14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625,14.40625	0
Chromium DOM Range	paper	400	30	pnum	15.1875,11.46875,15.15625,14.40625,15,14.40625,14.53125,14.53125,14.171875,14.53125	3.71875
Chromium DOM Range	paper	400	32	tnum	15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375	0
