weight	variant	digit	glyph	advance	lsb	y_min	y_max
400.0	default	0	zero	480	45	-14	630
400.0	default	1	one	480	92	-3	637
400.0	default	2	two	480	32	-3	630
400.0	default	3	three	480	50	-38	630
400.0	default	4	four	480	19	-3	642
400.0	default	5	five	480	72	-38	628
400.0	default	6	six	480	47	-16	643
400.0	default	7	seven	480	36	-32	626
400.0	default	8	eight	480	65	-14	630
400.0	default	9	nine	480	53	-31	629
400.0	lnum	0	zero	480	45	-14	630
400.0	lnum	1	one	480	92	-3	637
400.0	lnum	2	two	480	32	-3	630
400.0	lnum	3	three	480	50	-38	630
400.0	lnum	4	four	480	19	-3	642
400.0	lnum	5	five	480	72	-38	628
400.0	lnum	6	six	480	47	-16	643
400.0	lnum	7	seven	480	36	-32	626
400.0	lnum	8	eight	480	65	-14	630
400.0	lnum	9	nine	480	53	-31	629
400.0	tnum	0	zero	480	45	-14	630
400.0	tnum	1	one	480	92	-3	637
400.0	tnum	2	two	480	32	-3	630
400.0	tnum	3	three	480	50	-38	630
400.0	tnum	4	four	480	19	-3	642
400.0	tnum	5	five	480	72	-38	628
400.0	tnum	6	six	480	47	-16	643
400.0	tnum	7	seven	480	36	-32	626
400.0	tnum	8	eight	480	65	-14	630
400.0	tnum	9	nine	480	53	-31	629
400.0	onum	0	zero.tosf	480	24	-14	414
400.0	onum	1	one.tosf	480	106	-3	406
400.0	onum	2	two.tosf	480	59	-4	414
400.0	onum	3	three.tosf	480	86	-190	413
400.0	onum	4	four.tosf	480	15	-181	421
400.0	onum	5	five.tosf	480	106	-189	415
400.0	onum	6	six.tosf	480	41	-14	641
400.0	onum	7	seven.tosf	480	31	-193	407
400.0	onum	8	eight.tosf	480	60	-13	589
400.0	onum	9	nine.tosf	480	45	-186	414
400.0	pnum	0	zero.lf	506	48	-14	630
400.0	pnum	1	one.lf	382	36	-3	637
400.0	pnum	2	two.lf	505	36	-3	630
400.0	pnum	3	three.lf	480	40	-38	630
400.0	pnum	4	four.lf	500	19	-3	642
400.0	pnum	5	five.lf	480	52	-38	628
