weight	feature	lookup	input_glyph	output_glyph	input_advance	output_advance
400.0	tnum	19	eight.lf	eight	472	480
400.0	tnum	19	eight.osf	eight.tosf	452	480
400.0	tnum	19	five.lf	five	480	480
400.0	tnum	19	five.osf	five.tosf	359	480
400.0	tnum	19	four.lf	four	500	480
400.0	tnum	19	four.osf	four.tosf	492	480
400.0	tnum	19	nine.lf	nine	484	480
400.0	tnum	19	nine.osf	nine.tosf	466	480
400.0	tnum	19	one.lf	one	382	480
400.0	tnum	19	one.osf	one.tosf	289	480
400.0	tnum	19	seven.lf	seven	484	480
400.0	tnum	19	seven.osf	seven.tosf	460	480
400.0	tnum	19	six.lf	six	484	480
400.0	tnum	19	six.osf	six.tosf	489	480
400.0	tnum	19	three.lf	three	480	480
400.0	tnum	19	three.osf	three.tosf	372	480
400.0	tnum	19	two.lf	two	505	480
400.0	tnum	19	two.osf	two.tosf	440	480
400.0	tnum	19	zero.lf	zero	506	480
400.0	tnum	19	zero.osf	zero.tosf	507	480
400.0	onum	20	eight	eight.tosf	480	480
400.0	onum	20	eight.lf	eight.osf	472	452
400.0	onum	20	five	five.tosf	480	480
400.0	onum	20	five.lf	five.osf	480	359
400.0	onum	20	four	four.tosf	480	480
400.0	onum	20	four.lf	four.osf	500	492
400.0	onum	20	nine	nine.tosf	480	480
400.0	onum	20	nine.lf	nine.osf	484	466
400.0	onum	20	one	one.tosf	480	480
400.0	onum	20	one.lf	one.osf	382	289
400.0	onum	20	seven	seven.tosf	480	480
400.0	onum	20	seven.lf	seven.osf	484	460
400.0	onum	20	six	six.tosf	480	480
400.0	onum	20	six.lf	six.osf	484	489
400.0	onum	20	three	three.tosf	480	480
400.0	onum	20	three.lf	three.osf	480	372
400.0	onum	20	two	two.tosf	480	480
400.0	onum	20	two.lf	two.osf	505	440
400.0	onum	20	zero	zero.tosf	480	480
400.0	onum	20	zero.lf	zero.osf	506	507
400.0	lnum	17	eight.osf	eight.lf	452	472
400.0	lnum	17	five.osf	five.lf	359	480
400.0	lnum	17	four.osf	four.lf	492	500
400.0	lnum	17	nine.osf	nine.lf	466	484
400.0	lnum	17	one.osf	one.lf	289	382
400.0	lnum	17	seven.osf	seven.lf	460	484
400.0	lnum	17	six.osf	six.lf	489	484
400.0	lnum	17	three.osf	three.lf	372	480
400.0	lnum	17	two.osf	two.lf	440	505
400.0	lnum	17	zero.osf	zero.lf	507	506
400.0	pnum	18	eight	eight.lf	480	472
400.0	pnum	18	eight.tosf	eight.osf	480	452
400.0	pnum	18	five	five.lf	480	480
400.0	pnum	18	five.tosf	five.osf	480	359
400.0	pnum	18	four	four.lf	480	500
400.0	pnum	18	four.tosf	four.osf	480	492
400.0	pnum	18	nine	nine.lf	480	484
400.0	pnum	18	nine.tosf	nine.osf	480	466
400.0	pnum	18	one	one.lf	480	382
400.0	pnum	18	one.tosf	one.osf	480	289
400.0	pnum	18	seven	seven.lf	480	484
400.0	pnum	18	seven.tosf	seven.osf	480	460
400.0	pnum	18	six	six.lf	480	484
400.0	pnum	18	six.tosf	six.osf	480	489
400.0	pnum	18	three	three.lf	480	480
400.0	pnum	18	three.tosf	three.osf	480	372
400.0	pnum	18	two	two.lf	480	505
400.0	pnum	18	two.tosf	two.osf	480	440
400.0	pnum	18	zero	zero.lf	480	506
400.0	pnum	18	zero.tosf	zero.osf	480	507
500	tnum	19	eight.lf	eight	500	497
500	tnum	19	eight.osf	eight.tosf	470	497
500	tnum	19	five.lf	five	470	497
500	tnum	19	five.osf	five.tosf	363	497
500	tnum	19	four.lf	four	523	497
500	tnum	19	four.osf	four.tosf	506	497
500	tnum	19	nine.lf	nine	505	497
500	tnum	19	nine.osf	nine.tosf	494	497
500	tnum	19	one.lf	one	387	497
500	tnum	19	one.osf	one.tosf	306	497
500	tnum	19	seven.lf	seven	506	497
500	tnum	19	seven.osf	seven.tosf	476	497
500	tnum	19	six.lf	six	498	497
500	tnum	19	six.osf	six.tosf	496	497
500	tnum	19	three.lf	three	476	497
500	tnum	19	three.osf	three.tosf	381	497
500	tnum	19	two.lf	two	513	497
500	tnum	19	two.osf	two.tosf	453	497
500	tnum	19	zero.lf	zero	533	497
500	tnum	19	zero.osf	zero.tosf	509	497
500	onum	20	eight	eight.tosf	497	497
500	onum	20	eight.lf	eight.osf	500	470
500	onum	20	five	five.tosf	497	497
500	onum	20	five.lf	five.osf	470	363
500	onum	20	four	four.tosf	497	497
500	onum	20	four.lf	four.osf	523	506
500	onum	20	nine	nine.tosf	497	497
500	onum	20	nine.lf	nine.osf	505	494
500	onum	20	one	one.tosf	497	497
500	onum	20	one.lf	one.osf	387	306
500	onum	20	seven	seven.tosf	497	497
500	onum	20	seven.lf	seven.osf	506	476
500	onum	20	six	six.tosf	497	497
500	onum	20	six.lf	six.osf	498	496
500	onum	20	three	three.tosf	497	497
500	onum	20	three.lf	three.osf	476	381
500	onum	20	two	two.tosf	497	497
500	onum	20	two.lf	two.osf	513	453
500	onum	20	zero	zero.tosf	497	497
500	onum	20	zero.lf	zero.osf	533	509
500	lnum	17	eight.osf	eight.lf	470	500
500	lnum	17	five.osf	five.lf	363	470
500	lnum	17	four.osf	four.lf	506	523
500	lnum	17	nine.osf	nine.lf	494	505
500	lnum	17	one.osf	one.lf	306	387
500	lnum	17	seven.osf	seven.lf	476	506
500	lnum	17	six.osf	six.lf	496	498
500	lnum	17	three.osf	three.lf	381	476
500	lnum	17	two.osf	two.lf	453	513
500	lnum	17	zero.osf	zero.lf	509	533
500	pnum	18	eight	eight.lf	497	500
500	pnum	18	eight.tosf	eight.osf	497	470
500	pnum	18	five	five.lf	497	470
500	pnum	18	five.tosf	five.osf	497	363
500	pnum	18	four	four.lf	497	523
500	pnum	18	four.tosf	four.osf	497	506
500	pnum	18	nine	nine.lf	497	505
500	pnum	18	nine.tosf	nine.osf	497	494
500	pnum	18	one	one.lf	497	387
500	pnum	18	one.tosf	one.osf	497	306
500	pnum	18	seven	seven.lf	497	506
500	pnum	18	seven.tosf	seven.osf	497	476
500	pnum	18	six	six.lf	497	498
500	pnum	18	six.tosf	six.osf	497	496
500	pnum	18	three	three.lf	497	476
500	pnum	18	three.tosf	three.osf	497	381
500	pnum	18	two	two.lf	497	513
500	pnum	18	two.tosf	two.osf	497	453
500	pnum	18	zero	zero.lf	497	533
500	pnum	18	zero.tosf	zero.osf	497	509
600	tnum	19	eight.lf	eight	524	513
600	tnum	19	eight.osf	eight.tosf	486	513
600	tnum	19	five.lf	five	460	513
600	tnum	19	five.osf	five.tosf	366	513
600	tnum	19	four.lf	four	543	513
600	tnum	19	four.osf	four.tosf	518	513
600	tnum	19	nine.lf	nine	523	513
600	tnum	19	nine.osf	nine.tosf	520	513
600	tnum	19	one.lf	one	391	513
600	tnum	19	one.osf	one.tosf	321	513
600	tnum	19	seven.lf	seven	526	513
600	tnum	19	seven.osf	seven.tosf	491	513
600	tnum	19	six.lf	six	510	513
600	tnum	19	six.osf	six.tosf	503	513
600	tnum	19	three.lf	three	473	513
600	tnum	19	three.osf	three.tosf	390	513
600	tnum	19	two.lf	two	520	513
600	tnum	19	two.osf	two.tosf	464	513
600	tnum	19	zero.lf	zero	558	513
600	tnum	19	zero.osf	zero.tosf	510	513
600	onum	20	eight	eight.tosf	513	513
600	onum	20	eight.lf	eight.osf	524	486
600	onum	20	five	five.tosf	513	513
600	onum	20	five.lf	five.osf	460	366
600	onum	20	four	four.tosf	513	513
600	onum	20	four.lf	four.osf	543	518
600	onum	20	nine	nine.tosf	513	513
600	onum	20	nine.lf	nine.osf	523	520
600	onum	20	one	one.tosf	513	513
600	onum	20	one.lf	one.osf	391	321
600	onum	20	seven	seven.tosf	513	513
600	onum	20	seven.lf	seven.osf	526	491
600	onum	20	six	six.tosf	513	513
600	onum	20	six.lf	six.osf	510	503
600	onum	20	three	three.tosf	513	513
600	onum	20	three.lf	three.osf	473	390
600	onum	20	two	two.tosf	513	513
600	onum	20	two.lf	two.osf	520	464
600	onum	20	zero	zero.tosf	513	513
600	onum	20	zero.lf	zero.osf	558	510
600	lnum	17	eight.osf	eight.lf	486	524
600	lnum	17	five.osf	five.lf	366	460
600	lnum	17	four.osf	four.lf	518	543
600	lnum	17	nine.osf	nine.lf	520	523
600	lnum	17	one.osf	one.lf	321	391
600	lnum	17	seven.osf	seven.lf	491	526
600	lnum	17	six.osf	six.lf	503	510
600	lnum	17	three.osf	three.lf	390	473
600	lnum	17	two.osf	two.lf	464	520
600	lnum	17	zero.osf	zero.lf	510	558
600	pnum	18	eight	eight.lf	513	524
600	pnum	18	eight.tosf	eight.osf	513	486
600	pnum	18	five	five.lf	513	460
600	pnum	18	five.tosf	five.osf	513	366
600	pnum	18	four	four.lf	513	543
600	pnum	18	four.tosf	four.osf	513	518
600	pnum	18	nine	nine.lf	513	523
600	pnum	18	nine.tosf	nine.osf	513	520
600	pnum	18	one	one.lf	513	391
600	pnum	18	one.tosf	one.osf	513	321
600	pnum	18	seven	seven.lf	513	526
600	pnum	18	seven.tosf	seven.osf	513	491
600	pnum	18	six	six.lf	513	510
600	pnum	18	six.tosf	six.osf	513	503
600	pnum	18	three	three.lf	513	473
600	pnum	18	three.tosf	three.osf	513	390
600	pnum	18	two	two.lf	513	520
600	pnum	18	two.tosf	two.osf	513	464
600	pnum	18	zero	zero.lf	513	558
600	pnum	18	zero.tosf	zero.osf	513	510
700	tnum	19	eight.lf	eight	550	529
700	tnum	19	eight.osf	eight.tosf	502	529
700	tnum	19	five.lf	five	450	529
700	tnum	19	five.osf	five.tosf	370	529
700	tnum	19	four.lf	four	565	529
700	tnum	19	four.osf	four.tosf	531	529
700	tnum	19	nine.lf	nine	542	529
700	tnum	19	nine.osf	nine.tosf	546	529
700	tnum	19	one.lf	one	396	529
700	tnum	19	one.osf	one.tosf	337	529
700	tnum	19	seven.lf	seven	546	529
700	tnum	19	seven.osf	seven.tosf	506	529
700	tnum	19	six.lf	six	523	529
700	tnum	19	six.osf	six.tosf	510	529
700	tnum	19	three.lf	three	469	529
700	tnum	19	three.osf	three.tosf	398	529
700	tnum	19	two.lf	two	528	529
700	tnum	19	two.osf	two.tosf	476	529
700	tnum	19	zero.lf	zero	583	529
700	tnum	19	zero.osf	zero.tosf	512	529
700	onum	20	eight	eight.tosf	529	529
700	onum	20	eight.lf	eight.osf	550	502
700	onum	20	five	five.tosf	529	529
700	onum	20	five.lf	five.osf	450	370
700	onum	20	four	four.tosf	529	529
700	onum	20	four.lf	four.osf	565	531
700	onum	20	nine	nine.tosf	529	529
700	onum	20	nine.lf	nine.osf	542	546
700	onum	20	one	one.tosf	529	529
700	onum	20	one.lf	one.osf	396	337
700	onum	20	seven	seven.tosf	529	529
700	onum	20	seven.lf	seven.osf	546	506
700	onum	20	six	six.tosf	529	529
700	onum	20	six.lf	six.osf	523	510
700	onum	20	three	three.tosf	529	529
700	onum	20	three.lf	three.osf	469	398
700	onum	20	two	two.tosf	529	529
700	onum	20	two.lf	two.osf	528	476
700	onum	20	zero	zero.tosf	529	529
700	onum	20	zero.lf	zero.osf	583	512
700	lnum	17	eight.osf	eight.lf	502	550
700	lnum	17	five.osf	five.lf	370	450
700	lnum	17	four.osf	four.lf	531	565
700	lnum	17	nine.osf	nine.lf	546	542
700	lnum	17	one.osf	one.lf	337	396
700	lnum	17	seven.osf	seven.lf	506	546
700	lnum	17	six.osf	six.lf	510	523
700	lnum	17	three.osf	three.lf	398	469
700	lnum	17	two.osf	two.lf	476	528
700	lnum	17	zero.osf	zero.lf	512	583
700	pnum	18	eight	eight.lf	529	550
700	pnum	18	eight.tosf	eight.osf	529	502
700	pnum	18	five	five.lf	529	450
